source_image,target_cow_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,score,saved_path
UnlabeldImages/KQ25064002/1351_KQ25064002_1.jpg,KQ25064002,539,419,832,753,0.9146462082862854,train/KQ25064002/1351_KQ25064002_1_det_91.jpg
UnlabeldImages/KQ25064002/2539_KQ25064002_3.jpg,KQ25064002,192.78018188476562,364.1418151855469,492.9479675292969,765.4114379882812,0.14322301745414734,
UnlabeldImages/KQ25064002/5043_KQ25064002_2.jpg,KQ25064002,284,371,624,721,0.9271649122238159,train/KQ25064002/5043_KQ25064002_2_det_92.jpg
UnlabeldImages/KQ25064004/1726_KQ25064004_3.jpg,KQ25064004,,,,,,
UnlabeldImages/KQ25064004/3634_KQ25064004_2.jpg,KQ25064004,494,340,1180,988,0.9419378042221069,train/KQ25064004/3634_KQ25064004_2_det_94.jpg
UnlabeldImages/KQ25064004/6706_KQ25064004_1.jpg,KQ25064004,517,364,919,791,0.9336334466934204,train/KQ25064004/6706_KQ25064004_1_det_93.jpg
UnlabeldImages/KQ25064009/5945_KQ25064009_3.jpg,KQ25064009,179,517,608,964,0.9262312650680542,train/KQ25064009/5945_KQ25064009_3_det_92.jpg
UnlabeldImages/KQ25064009/6653_KQ25064009_2.jpg,KQ25064009,,,,,,
UnlabeldImages/KQ25064009/8903_KQ25064009_1.jpg,KQ25064009,599,258,965,614,0.9063125848770142,train/KQ25064009/8903_KQ25064009_1_det_90.jpg
UnlabeldImages/KQ25064010/2772_KQ25064010_2.jpg,KQ25064010,461,390,749,710,0.9077334403991699,train/KQ25064010/2772_KQ25064010_2_det_90.jpg
UnlabeldImages/KQ25064010/7624_KQ25064010_1.jpg,KQ25064010,583.0778198242188,609.21875,757.2614135742188,815.6127319335938,0.5906457304954529,
UnlabeldImages/KQ25064010/9018_KQ25064010_3.jpg,KQ25064010,,,,,,
UnlabeldImages/KQ25064013/2533_KQ25064013_1.jpg,KQ25064013,523,608,796,911,0.8260164260864258,train/KQ25064013/2533_KQ25064013_1_det_82.jpg
UnlabeldImages/KQ25064013/3122_KQ25064013_3.jpg,KQ25064013,567,430,931,802,0.9192299842834473,train/KQ25064013/3122_KQ25064013_3_det_91.jpg
UnlabeldImages/KQ25064013/9239_KQ25064013_2.jpg,KQ25064013,,,,,,
UnlabeldImages/KQ25064014/3620_KQ25064014_2.jpg,KQ25064014,0,212,768,1095,0.9558594226837158,train/KQ25064014/3620_KQ25064014_2_det_95.jpg
UnlabeldImages/KQ25064014/4054_KQ25064014_1.jpg,KQ25064014,559,333,1047,890,0.9250802993774414,train/KQ25064014/4054_KQ25064014_1_det_92.jpg
UnlabeldImages/KQ25064014/9703_KQ25064014_3.jpg,KQ25064014,651,183,1279,978,0.9339744448661804,train/KQ25064014/9703_KQ25064014_3_det_93.jpg
UnlabeldImages/KQ25064015/2485_KQ25064015_2.jpg,KQ25064015,476,271,1136,938,0.9464285373687744,train/KQ25064015/2485_KQ25064015_2_det_94.jpg
UnlabeldImages/KQ25064015/4849_KQ25064015_3.jpg,KQ25064015,0,84,621,1347,0.9208421111106873,train/KQ25064015/4849_KQ25064015_3_det_92.jpg
UnlabeldImages/KQ25064015/7306_KQ25064015_1.jpg,KQ25064015,599,374,951,742,0.87353515625,train/KQ25064015/7306_KQ25064015_1_det_87.jpg
UnlabeldImages/KQ25064016/7123_KQ25064016_2.jpg,KQ25064016,653,364,1020,712,0.944470226764679,train/KQ25064016/7123_KQ25064016_2_det_94.jpg
UnlabeldImages/KQ25064016/9532_KQ25064016_3.jpg,KQ25064016,290,325,589,618,0.8860210180282593,train/KQ25064016/9532_KQ25064016_3_det_88.jpg
UnlabeldImages/KQ25064016/9795_KQ25064016_1.jpg,KQ25064016,599.5136108398438,395.4057312011719,796.40966796875,577.6527709960938,0.3181356191635132,
UnlabeldImages/KQ25064017/5110_KQ25064017_3.jpg,KQ25064017,270,436,786,946,0.9406760931015015,train/KQ25064017/5110_KQ25064017_3_det_94.jpg
UnlabeldImages/KQ25064017/5436_KQ25064017_1.jpg,KQ25064017,538,431,880,765,0.8627011775970459,train/KQ25064017/5436_KQ25064017_1_det_86.jpg
UnlabeldImages/KQ25064017/7432_KQ25064017_2.jpg,KQ25064017,412,41,1279,881,0.939197301864624,train/KQ25064017/7432_KQ25064017_2_det_93.jpg
UnlabeldImages/KQ25064018/4821_KQ25064018_1.jpg,KQ25064018,261,212,1144,956,0.9428992867469788,train/KQ25064018/4821_KQ25064018_1_det_94.jpg
UnlabeldImages/KQ25064018/6778_KQ25064018_3.jpg,KQ25064018,81,118,650,775,0.9118379354476929,train/KQ25064018/6778_KQ25064018_3_det_91.jpg
UnlabeldImages/KQ25064018/8978_KQ25064018_2.jpg,KQ25064018,352,266,930,778,0.9391843676567078,train/KQ25064018/8978_KQ25064018_2_det_93.jpg
UnlabeldImages/KQ25064019/7542_KQ25064019_2.jpg,KQ25064019,670,372,910,652,0.918869137763977,train/KQ25064019/7542_KQ25064019_2_det_91.jpg
UnlabeldImages/KQ25064019/7742_KQ25064019_3.jpg,KQ25064019,397,478,692,829,0.9145705103874207,train/KQ25064019/7742_KQ25064019_3_det_91.jpg
UnlabeldImages/KQ25064019/8492_KQ25064019_1.jpg,KQ25064019,511,484,773,765,0.8362473845481873,train/KQ25064019/8492_KQ25064019_1_det_83.jpg
UnlabeldImages/KQ25064020/1471_KQ25064020_1.jpg,KQ25064020,697,636,862,810,0.7874621748924255,train/KQ25064020/1471_KQ25064020_1_det_78.jpg
UnlabeldImages/KQ25064020/2094_KQ25064020_2.jpg,KQ25064020,793,421,985,651,0.8673920035362244,train/KQ25064020/2094_KQ25064020_2_det_86.jpg
UnlabeldImages/KQ25064020/3383_KQ25064020_3.jpg,KQ25064020,578,574,863,848,0.9519326090812683,train/KQ25064020/3383_KQ25064020_3_det_95.jpg
UnlabeldImages/KQ25064021/7040_KQ25064021_2.jpg,KQ25064021,619,275,1070,728,0.9407766461372375,train/KQ25064021/7040_KQ25064021_2_det_94.jpg
UnlabeldImages/KQ25064021/7492_KQ25064021_3.jpg,KQ25064021,287,86,773,646,0.9382504224777222,train/KQ25064021/7492_KQ25064021_3_det_93.jpg
UnlabeldImages/KQ25064021/8773_KQ25064021_1.jpg,KQ25064021,483,275,861,665,0.9005088210105896,train/KQ25064021/8773_KQ25064021_1_det_90.jpg
UnlabeldImages/KQ25064022/1870_KQ25064022_2.jpg,KQ25064022,277,655,715,1074,0.9244447946548462,train/KQ25064022/1870_KQ25064022_2_det_92.jpg
